Año;Mes;NCM;Pdes;Pnet(kg);FOB(u$s)
2020;01;02071200;999;     5222244,000;      6296845,76                                                                                                                                                  
2020;01;02071400;159;     3057217,000;      1739743,40                                                                                                                                                  
2020;01;02071400;203;      517200,000;      1126338,00                                                                                                                                                  
2020;01;02071400;208;      311520,000;       618423,77                                                                                                                                                  
2020;01;02071400;310;     7090720,000;     13790545,74                                                                                                                                                  
2020;01;02071400;341;      157025,000;        57342,50                                                                                                                                                  
2020;01;02071400;444;      825740,000;       741106,20                                                                                                                                                  
2020;01;02071400;509;       54395,600;       176078,91                                                                                                                                                  
2020;01;02071400;999;     1721548,000;      2927897,88                                                                                                                                                  
2020;01;02091021;999;      147394,590;       163737,19                                                                                                                                                  
2020;01;02101900;999;        3135,990;        34538,11                                                                                                                                                  
2020;01;03036600;319;      107925,000;       120056,50                                                                                                                                                  
2020;01;03036600;444;      522657,500;       779269,83                                                                                                                                                  
2020;01;03036600;999;      513668,260;       887390,33                                                                                                                                                  
2020;01;03036800;999;      106404,160;       143848,57                                                                                                                                                  
2020;01;03036990;444;       62931,220;       108620,34                                                                                                                                                  
2020;01;03036990;999;         616,000;         1228,50                                                                                                                                                  
2020;01;03038200;999;       44046,400;        85928,54                                                                                                                                                  
2020;01;03038311;212;      303185,810;      6700011,02                                                                                                                                                  
2020;01;03038311;999;       97442,820;      2107742,91                                                                                                                                                  
2020;01;03038910;131;      251960,000;       333044,00                                                                                                                                                  
2020;01;03038910;999;      335200,200;       558160,37                                                                                                                                                  
2020;01;03038920;999;      376560,000;       433467,28                                                                                                                                                  
2020;01;03038951;202;      737060,000;       815072,00                                                                                                                                                  
2020;01;03038951;203;      288860,000;       285690,00                                                                                                                                                  
2020;01;03038951;205;      613680,000;       661604,00                                                                                                                                                  
2020;01;03038951;999;       81400,000;        77632,00                                                                                                                                                  
2020;01;03038954;203;       87340,000;       100620,00                                                                                                                                                  
2020;01;03038990;202;       51320,000;        55584,00                                                                                                                                                  
2020;01;03038990;310;      168329,520;       254337,68                                                                                                                                                  
2020;01;03038990;444;       51604,700;        82434,30                                                                                                                                                  
2020;01;03038990;999;      420975,850;       646418,78                                                                                                                                                  
2020;01;03039990;309;       38710,000;       151692,00                                                                                                                                                  
2020;01;03039990;999;       13428,000;        85347,00                                                                                                                                                  
2020;01;03047400;203;     2850189,540;      8405735,26                                                                                                                                                  
2020;01;03047400;212;      152413,800;       464238,92                                                                                                                                                  
2020;01;03047400;319;      135030,000;       406402,48                                                                                                                                                  
2020;01;03047400;410;      375260,150;      1036692,97                                                                                                                                                  
2020;01;03047400;417;       98646,330;       294182,37                                                                                                                                                  
2020;01;03047400;424;      189000,000;       603633,45                                                                                                                                                  
2020;01;03047400;425;      122938,750;       332145,98                                                                                                                                                  
2020;01;03047400;444;      328573,000;       925742,68                                                                                                                                                  
2020;01;03047400;445;       82734,000;       234017,45                                                                                                                                                  
2020;01;03047400;999;      172595,000;       461440,36                                                                                                                                                  
2020;01;03048990;203;       41733,000;       244735,50                                                                                                                                                  
2020;01;03048990;212;      102078,140;       556367,97                                                                                                                                                  
2020;01;03048990;310;      108912,000;       337775,10                                                                                                                                                  
2020;01;03048990;335;      144711,000;       399585,21                                                                                                                                                  
2020;01;03048990;501;       88873,000;       335933,68                                                                                                                                                  
2020;01;03048990;999;      107586,000;       371308,05                                                                                                                                                  
2020;01;03049500;999;     1124564,250;      3782708,14                                                                                                                                                  
2020;01;03056300;127;      221501,000;       487114,45                                                                                                                                                  
2020;01;03056300;222;      135114,000;       394777,30                                                                                                                                                  
2020;01;03056300;410;      311838,000;       996867,30                                                                                                                                                  
2020;01;03056300;999;      110004,000;       280283,95                                                                                                                                                  
2020;01;03061400;212;      205511,370;      3557239,30                                                                                                                                                  
2020;01;03061400;999;       26460,590;       383495,98                                                                                                                                                  
2020;01;03061710;159;      160992,000;       693841,20                                                                                                                                                  
2020;01;03061710;309;      122976,000;       702288,96                                                                                                                                                  
2020;01;03061710;310;      240000,000;      1264528,88                                                                                                                                                  
2020;01;03061710;320;      324204,000;      1669832,62                                                                                                                                                  
2020;01;03061710;410;     2328744,000;     10933477,32                                                                                                                                                  
2020;01;03061710;412;       92004,000;       440368,75                                                                                                                                                  
2020;01;03061710;413;      138576,000;       633194,54                                                                                                                                                  
2020;01;03061710;417;      699410,400;      3620209,30                                                                                                                                                  
2020;01;03061710;444;      274512,000;      1284923,31                                                                                                                                                  
2020;01;03061710;999;      170832,000;       801398,78                                                                                                                                                  
2020;01;03061790;212;      368649,910;      2892433,16                                                                                                                                                  
2020;01;03061790;222;     1447104,500;     10937153,03                                                                                                                                                  
2020;01;03061790;310;     1749517,500;     12415156,86                                                                                                                                                  
2020;01;03061790;316;      362343,000;      2622264,49                                                                                                                                                  
2020;01;03061790;335;     1010038,000;      6889665,06                                                                                                                                                  
2020;01;03061790;337;      441245,000;      3251858,92                                                                                                                                                  
2020;01;03061790;410;     1921398,000;     14378375,16                                                                                                                                                  
2020;01;03061790;417;      319332,000;      2721956,00                                                                                                                                                  
2020;01;03061790;444;      252195,000;      1953471,14                                                                                                                                                  
2020;01;03061790;999;      324251,000;      2353937,11                                                                                                                                                  
2020;01;03074310;999;       79408,400;       166641,96                                                                                                                                                  
2020;01;04012010;221;       56025,000;        31281,36                                                                                                                                                  
2020;01;04012010;999;       64869,600;        40754,16                                                                                                                                                  
2020;01;04021010;203;      724300,000;      1834862,50                                                                                                                                                  
2020;01;04021010;999;      689000,000;      1780098,00                                                                                                                                                  
2020;01;04021090;999;     1437760,000;      3939756,54                                                                                                                                                  
2020;01;04022110;102;     6908600,000;     21345607,00                                                                                                                                                  
2020;01;04022110;203;     3042480,000;      9517191,26                                                                                                                                                  
2020;01;04022110;310;      602000,000;      1896260,00                                                                                                                                                  
2020;01;04022110;999;     3197648,000;     10308594,22                                                                                                                                                  
2020;01;04041000;203;     1122800,000;      2043225,00                                                                                                                                                  
2020;01;04041000;205;      200000,000;       203000,00                                                                                                                                                  
2020;01;04041000;208;      417010,000;       664725,34                                                                                                                                                  
2020;01;04041000;310;      826725,000;      1142512,38                                                                                                                                                  
2020;01;04041000;999;     1687875,000;      2629492,54                                                                                                                                                  
2020;01;04051000;221;        4638,000;        23837,91                                                                                                                                                  
2020;01;04051000;444;     1581800,000;      7112427,20                                                                                                                                                  
2020;01;04051000;999;      192938,400;       838513,33                                                                                                                                                  
2020;01;04061010;203;      799018,000;      2624181,00                                                                                                                                                  
2020;01;04061010;208;      222424,050;       752005,51                                                                                                                                                  
2020;01;04061010;221;       91357,480;       308689,77                                                                                                                                                  
2020;01;04061010;999;     1674656,090;      5699673,61                                                                                                                                                  
2020;01;04062000;221;       24791,600;       190591,85                                                                                                                                                  
2020;01;04062000;999;        9414,200;        68248,39                                                                                                                                                  
2020;01;04064000;221;        3226,190;        22670,75                                                                                                                                                  
2020;01;04064000;999;      129182,580;       784201,12                                                                                                                                                  
2020;01;04069010;203;      174534,800;      1171675,45                                                                                                                                                  
2020;01;04069010;208;       63984,550;       432996,43                                                                                                                                                  
2020;01;04069010;212;       68484,570;       425724,92                                                                                                                                                  
2020;01;04069010;221;        5299,530;        37643,34                                                                                                                                                  
2020;01;04069010;444;      547781,240;      3124341,28                                                                                                                                                  
2020;01;04069010;999;       60978,870;       363876,57                                                                                                                                                  
2020;01;04069020;203;      191032,000;       662308,40                                                                                                                                                  
2020;01;04069020;208;      462356,250;      1542057,25                                                                                                                                                  
2020;01;04069020;221;      143408,470;       508389,42                                                                                                                                                  
2020;01;04069020;444;      949745,780;      3316289,88                                                                                                                                                  
2020;01;04069020;999;      431259,580;      1486321,01                                                                                                                                                  
2020;01;04069030;221;        9009,470;        34293,30                                                                                                                                                  
2020;01;04069030;999;       14921,780;        53597,48                                                                                                                                                  
2020;01;04089100;208;       28000,000;       144558,78                                                                                                                                                  
2020;01;04089100;999;      123715,000;       546558,34                                                                                                                                                  
2020;01;04090000;212;     1733283,970;      3621090,03                                                                                                                                                  
2020;01;04090000;320;      212125,000;       561857,91                                                                                                                                                  
2020;01;04090000;438;      941139,500;      2134112,83                                                                                                                                                  
2020;01;04090000;999;      548429,000;      1270449,25                                                                                                                                                  
2020;01;05040011;999;      322027,000;       383771,30                                                                                                                                                  
2020;01;05040019;999;       48495,000;        39355,00                                                                                                                                                  
2020;01;05040090;108;      592586,670;       614613,80                                                                                                                                                  
2020;01;05040090;109;       88000,000;        86310,90                                                                                                                                                  
2020;01;05040090;117;      494600,000;       553806,80                                                                                                                                                  
2020;01;05040090;149;      621050,000;       681267,50                                                                                                                                                  
2020;01;05040090;159;      372660,000;       260930,57                                                                                                                                                  
2020;01;05040090;341;      208672,600;       361081,20                                                                                                                                                  
2020;01;05040090;999;      231596,390;       236025,41                                                                                                                                                  
2020;01;05059000;337;     1394556,500;       459127,54                                                                                                                                                  
2020;01;05059000;999;      216306,000;        74786,98                                                                                                                                                  
2020;01;05069000;310;      464102,510;       563858,53                                                                                                                                                  
2020;01;05069000;999;       44235,000;        16747,20                                                                                                                                                  
2020;01;05100090;999;       68708,200;       517454,24                                                                                                                                                  
2020;01;05119910;999;           1,370;        84260,43                                                                                                                                                  
2020;01;05119999;221;       61385,000;       281835,00                                                                                                                                                  
2020;01;05119999;999;      848422,000;       772405,32                                                                                                                                                  
2020;01;07019000;221;     3666764,800;       221515,10                                                                                                                                                  
2020;01;07020000;221;     1995423,000;       152940,00                                                                                                                                                  
2020;01;07020000;999;       89856,000;        69888,00                                                                                                                                                  
2020;01;07031019;221;       82100,000;         4450,00                                                                                                                                                  
2020;01;07031019;999;        2000,000;         1100,00                                                                                                                                                  
2020;01;07032090;203;    14600600,000;     26356346,50                                                                                                                                                  
2020;01;07032090;212;     2134600,010;      3073986,94                                                                                                                                                  
